N_hops,R_gc,R_gc_mean,azm,call_0,call_1,ecl_maxtime,ecl_maxtime_obs,lat_0,lat_1,lat_mid,lon_0,lon_1,lon_mid,n_spots,partial_end,partial_end_obs,partial_start,partial_start_obs,color
1,1707.1727174455468,1707.1727174455468,162.20137596363918,WE9V,AA2MF,2017-08-21 18:32:00,0.995712,42.5625,27.8125,35.215598138079635,-88.0417,-82.7917,-85.17696795873417,2991,2017-08-21 19:58:00,0.00281777,2017-08-21 17:02:00,0.00281777,#1f77b4
1,1956.9940203634126,1956.9940203634126,156.39977323532182,WE9V,N4BP,2017-08-21 18:38:00,0.998089,42.5625,26.1458,34.4146721625956,-88.0417,-80.2917,-83.78404228352713,1731,2017-08-21 20:02:00,0.00267144,2017-08-21 17:06:00,0.00267144,#ff7f0e
1,2761.6814144338314,2761.6814144338314,-71.10586882190869,WE9V,K7VIT,2017-08-21 17:42:00,0.875078,42.5625,45.5625,45.38636742057645,-88.0417,-122.625,-104.88133440527436,1355,2017-08-21 19:06:00,0.000134403,2017-08-21 16:22:00,0.000134403,#2ca02c
1,1331.8349495378536,1331.8349495378536,87.91205571966398,WE9V,N1MD,2017-08-21 18:32:00,0.687171,42.5625,41.8542,42.49317024660864,-88.0417,-71.875,-79.91272861613066,1340,2017-08-21 19:50:00,0.00159379,2017-08-21 17:10:00,0.00159379,#d62728
1,1256.1043341192612,1256.1043341192612,88.21750719168675,WE9V,N1IXF,2017-08-21 18:32:00,0.694064,42.5625,41.8958,42.482497716231464,-88.0417,-72.7917,-80.37619337815799,1155,2017-08-21 19:50:00,6.0825e-05,2017-08-21 17:08:00,6.0825e-05,#9467bd
1,1456.59215901892,1456.59215901892,-89.15430002745565,WE9V,W7SE,2017-08-21 18:00:00,0.915244,42.5625,41.3958,42.31602907737558,-88.0417,-105.625,-96.91452804586129,1052,2017-08-21 19:26:00,0.000735175,2017-08-21 16:34:00,0.000735175,#8c564b
1,1328.4805595564076,1328.4805595564076,86.9176669760701,WE9V,W1UJ,2017-08-21 18:32:00,0.68428,42.5625,42.0625,42.59741894357692,-88.0417,-71.875,-79.92602752390263,899,2017-08-21 19:50:00,0.00171932,2017-08-21 17:10:00,0.00171932,#e377c2
1,1979.1019415684686,1979.1019415684686,-70.52301381814806,WE9V,KS7T,2017-08-21 17:52:00,0.850458,42.5625,45.9792,44.93002177804468,-88.0417,-112.5417,-99.93000101582264,864,2017-08-21 19:16:00,0.00104628,2017-08-21 16:30:00,0.00104628,#7f7f7f
1,1062.3914006048888,1062.3914006048888,99.17850179624443,WE9V,AA3B,2017-08-21 18:30:00,0.739614,42.5625,40.3542,41.62558319690138,-88.0417,-75.625,-81.7272265163157,841,2017-08-21 19:50:00,0.0013495,2017-08-21 17:06:00,0.0013495,#bcbd22
1,2568.8341736664715,2568.8341736664715,-106.3767154510353,WE9V,W6RW,2017-08-21 17:50:00,0.935672,42.5625,32.7292,38.397320071503344,-88.0417,-114.625,-102.23143161876072,798,2017-08-21 19:20:00,0.00101975,2017-08-21 16:24:00,0.00101975,#17becf
